id,name,type
wob39,Patrick Wimmer,Spieler
wob40,Kevin Paredes,Spieler
bmg1,Jonas Omlin,Spieler
bmg3,Ko Itakura,Spieler
bmg4,Mamadou Doucoure,Spieler
bmg5,Marvin Friedrich,Spieler
bmg6,Christoph Kramer,Spieler
bmg7,Patrick Herrmann,Spieler
bmg8,Julian Weigl,Spieler
bmg10,Marcus Thuram,Spieler
bmg11,Hannes Wolf,Spieler
bmg13,Lars Stindl,Spieler
bmg14,Alassane Plea,Spieler
bmg17,Manu Kone,Spieler
bmg18,Stefan Lainer,Spieler
bmg19,Nathan Ngoumou,Spieler
bmg20,Luca Netz,Spieler
bmg21,Tobias Sippel,Spieler
bmg23,Jonas Hofmann,Spieler
bmg24,Tony Jantschke,Spieler
bmg25,Ramy Bensebaini,Spieler
bmg29,Joe Scally,Spieler
bmg30,Nico Elvedi,Spieler
bmg32,Florian Neuhaus,Spieler
bmg34,Conor Noss,Spieler
bmg38,Yvandro Borges Sanches,Spieler
bmg41,Jan Olschowsky,Spieler
lev1,Lukas Hradecky,Spieler
lev3,Piero Hincapie,Spieler
lev4,Jonathan Tah,Spieler
lev5,Mitchell Bakker,Spieler
lev6,Odilon Koussounou,Spieler
lev8,Robert Andrich,Spieler
lev9,Sardar Azmoun,Spieler
lev10,Kerem Demirbay,Spieler
lev11,Nadiem Amiri,Spieler
lev12,Edmond Tapsoba,Spieler
lev14,Patrik Schick,Spieler
lev17,Callum Hudson Odoi,Spieler
lev19,Moussa Diaby,Spieler
lev20,Charles Aranguiz,Spieler
lev21,Amine Adli,Spieler
lev22,Daley Sinkgraven,Spieler
lev23,Adam Hlozek,Spieler
lev24,Timothy Fosu Mensah,Spieler
lev25,Exequiel Palacios,Spieler
lev27,Florian Wirtz,Spieler
lev30,Jeremie Frimpong,Spieler
lev32,Ayman Azhil,Spieler
lev38,Karim Bellarabi,Spieler
lev40,Andrey Lunev,Spieler
svw1,Jiri Pavlenka,Spieler
svw3,Anthony Jung,Spieler
svw4,Niklas Stark,Spieler
svw5,Amos Pieper,Spieler
svw6,Jens Stage,Spieler
svw7,Marvin Ducksch,Spieler
svw8,Mitchell Weiser,Spieler
svw10,Leonardo Bittencourt,Spieler
svw11,Niclas Fuellkrug,Spieler
svw13,Milos Veljkovic,Spieler
svw17,Maximilian Philipp,Spieler
svw19,Dikeni Salifou,Spieler
svw20,Romano Schmid,Spieler
svw21,Eren Dinkci,Spieler
svw22,Niklas Schmidt,Spieler
svw26,Lee Buchanan,Spieler
svw27,Felix Agu,Spieler
svw28,Ilia Gruev,Spieler
svw30,Michael Zetterer,Spieler
svw32,Marco Friedl,Spieler
svw34,Jean Manuel Mbom,Spieler
svw36,Christian Gross,Spieler
svw39,Fabio Chiarodia,Spieler
koe1,Timo Horn,Spieler
koe2,Benno Schmitz,Spieler
koe3,Kristian Pedersen,Spieler
koe4,Timo Huebers,Spieler
koe5,Nikola Soldo,Spieler
koe6,Eric Martel,Spieler
koe7,Dejan Ljubicic,Spieler
koe8,Denis Huseinbasic,Spieler
koe9,Sebastian Andersson,Spieler
koe11,Florian Kainz,Spieler
koe13,Marc Uth,Spieler
koe14,Jonas Hector,Spieler
koe15,Luca Kilian,Spieler
koe17,Kingsley Schindler,Spieler
koe19,Dimitrios Limnios,Spieler
koe20,Marvin Schwaebe,Spieler
koe21,Steffen Tigges,Spieler
koe23,Sargis Adamyan,Spieler
koe24,Julian Chabot,Spieler
koe25,Tim Lemperle,Spieler
koe27,Davie Selke,Spieler
koe28,Ellyes Skhiri,Spieler
koe29,Jan Thielmann,Spieler
koe33,Florian Dietz,Spieler
koe37,Linton Mai,Spieler
koe47,Mathias Olesen,Spieler
koe48,Justin Diehl,Spieler
fsv1,Finn Dahmen,Spieler
fsv3,Aaron Martin,Spieler
fsv4,Aymen Barkok,Spieler
fsv5,Maxim Leitsch,Spieler
fsv6,Anton Stach,Spieler
fsv7,Jae Sung Lee,Spieler
